source,target,type
KERNEL_BACKGROUND_AGENT.js,AGENT,agent
KERNEL_BACKGROUND_AGENT_V2.js,AGENT,agent
KERNEL_BOOTSTRAP.js,BOOT,boot
KERNEL_BOOTSTRAP_FULL_V1.js,BOOT,boot
KERNEL_BOOTSTRAP_LOOP_V1.js,BOOT,boot
KERNEL_BOOT_GUARD.js,BOOT,boot
KERNEL_CLUSTER_WORKER_BOOT.js,BOOT,boot
KERNEL_CONSOLIDATION_ENGINE_V1.js,ENGINE,engine
KERNEL_CORE.js,CORE,core
KERNEL_RECONCILIATION_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V2.js,ENGINE,engine
KERNEL_SNAPSHOT_ENGINE_V1.js,ENGINE,engine
KERNEL_SYNC_ENGINE.js,ENGINE,engine
KERNEL_TRANSACTION_ENGINE_V1.js,ENGINE,engine
POLICY_ENGINE.js,ENGINE,engine
SYSTEM_KERNEL_REHYDRATION_ENGINE_V1.js,ENGINE,engine
VERSION_ENGINE.js,ENGINE,engine
KERNEL_BACKGROUND_AGENT.js,AGENT,agent
KERNEL_BACKGROUND_AGENT_V2.js,AGENT,agent
KERNEL_BOOTSTRAP.js,BOOT,boot
KERNEL_BOOTSTRAP_FULL_V1.js,BOOT,boot
KERNEL_BOOTSTRAP_LOOP_V1.js,BOOT,boot
KERNEL_BOOT_GUARD.js,BOOT,boot
KERNEL_CLUSTER_WORKER_BOOT.js,BOOT,boot
KERNEL_CONSOLIDATION_ENGINE_V1.js,ENGINE,engine
KERNEL_CORE.js,CORE,core
KERNEL_RECONCILIATION_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V2.js,ENGINE,engine
KERNEL_SNAPSHOT_ENGINE_V1.js,ENGINE,engine
KERNEL_SYNC_ENGINE.js,ENGINE,engine
KERNEL_TRANSACTION_ENGINE_V1.js,ENGINE,engine
POLICY_ENGINE.js,ENGINE,engine
SYSTEM_KERNEL_REHYDRATION_ENGINE_V1.js,ENGINE,engine
VERSION_ENGINE.js,ENGINE,engine
KERNEL_BACKGROUND_AGENT.js,AGENT,agent
KERNEL_BACKGROUND_AGENT_V2.js,AGENT,agent
KERNEL_BOOTSTRAP.js,BOOT,boot
KERNEL_BOOTSTRAP_FULL_V1.js,BOOT,boot
KERNEL_BOOTSTRAP_LOOP_V1.js,BOOT,boot
KERNEL_BOOT_GUARD.js,BOOT,boot
KERNEL_CLUSTER_WORKER_BOOT.js,BOOT,boot
KERNEL_CONSOLIDATION_ENGINE_V1.js,ENGINE,engine
KERNEL_CORE.js,CORE,core
KERNEL_RECONCILIATION_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V2.js,ENGINE,engine
KERNEL_SNAPSHOT_ENGINE_V1.js,ENGINE,engine
KERNEL_SYNC_ENGINE.js,ENGINE,engine
KERNEL_TRANSACTION_ENGINE_V1.js,ENGINE,engine
POLICY_ENGINE.js,ENGINE,engine
SYSTEM_KERNEL_REHYDRATION_ENGINE_V1.js,ENGINE,engine
VERSION_ENGINE.js,ENGINE,engine
BOOT_LOCK,BOOT,boot
BOOTSTRAP.sh,BOOT,boot
AGENTS.md,AGENT,agent
AGENTS.md,AGENT,agent
AGENTS.md,AGENT,agent
AGENTS.md,AGENT,agent
AGENT-PERSONALIZATION-STANDARD-V1.md,AGENT,agent
AGENTS.md,AGENT,agent
ADE-AGENT-CHANGES.md,AGENT,agent
AIOX-AGENT-FLOWS.zip,AGENT,agent
DATA-ENGINEER-SYSTEM.md,ENGINE,engine
WORKFLOW-TASK-AGENT-ANALYSIS.md,AGENT,agent
VERSION_ENGINE.js,ENGINE,engine
POLICY_ENGINE.js,ENGINE,engine
KERNEL_SYNC_ENGINE.js,ENGINE,engine
KERNEL_BACKGROUND_AGENT.js,AGENT,agent
KERNEL_BACKGROUND_AGENT_V2.js,AGENT,agent
KERNEL_BOOT_GUARD.js,BOOT,boot
KERNEL_CORE.js,CORE,core
KERNEL_BOOTSTRAP.js,BOOT,boot
KERNEL_CLUSTER_WORKER_BOOT.js,BOOT,boot
KERNEL_TRANSACTION_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V1.js,ENGINE,engine
KERNEL_SNAPSHOT_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V2.js,ENGINE,engine
KERNEL_BOOTSTRAP_LOOP_V1.js,BOOT,boot
KERNEL_RECONCILIATION_ENGINE_V1.js,ENGINE,engine
SYSTEM_KERNEL_REHYDRATION_ENGINE_V1.js,ENGINE,engine
KERNEL_CONSOLIDATION_ENGINE_V1.js,ENGINE,engine
KERNEL_BOOTSTRAP_FULL_V1.js,BOOT,boot
KERNEL_BOOTSTRAP_FULL_V1.js,BOOT,boot
SYSTEM_KERNEL_REHYDRATION_ENGINE_V1.js,ENGINE,engine
KERNEL_BOOTSTRAP.js,BOOT,boot
KERNEL_BOOTSTRAP_LOOP_V1.js,BOOT,boot
KERNEL_CLUSTER_WORKER_BOOT.js,BOOT,boot
KERNEL_CONSOLIDATION_ENGINE_V1.js,ENGINE,engine
KERNEL_CORE.js,CORE,core
KERNEL_RECONCILIATION_ENGINE_V1.js,ENGINE,engine
KERNEL_TRANSACTION_ENGINE_V1.js,ENGINE,engine
VERSION_ENGINE.js,ENGINE,engine
KERNEL_SYNC_ENGINE.js,ENGINE,engine
POLICY_ENGINE.js,ENGINE,engine
KERNEL_BOOT_GUARD.js,BOOT,boot
KERNEL_BACKGROUND_AGENT.js,AGENT,agent
KERNEL_BACKGROUND_AGENT_V2.js,AGENT,agent
KERNEL_REPLAY_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V2.js,ENGINE,engine
KERNEL_SNAPSHOT_ENGINE_V1.js,ENGINE,engine
CORE_GUARDED.js,CORE,core
CORE_AUTHORITY.js,CORE,core
BOOT_AUTHORITY.sh,BOOT,boot
CORE_TRUTH_V2.js,CORE,core
BOOT_TRUTH_V2.sh,BOOT,boot
CORE_TRUTH_V3.js,CORE,core
COGNITIVE_CORE.js,CORE,core
AGENT_CORE_FINAL.js,CORE,core
BOOT_FINAL_KERNEL.sh,BOOT,boot
AGENT_CORE_FINAL_PATCH.js,CORE,core
AGENT_CORE_FINAL_EXEC.js,CORE,core
AGENT_OS_CORE.js,CORE,core
AGENT_OS_FIX_INLINE.js,AGENT,agent
AGENT_OS_SINGLE_EXEC.js,AGENT,agent
AGENT_OS_SINGLE_EXEC_PATCH.js,AGENT,agent
AGENT_OS_SINGLE_EXEC_PATCH4.js,AGENT,agent
AGENT_OS_KERNEL_SINGLE.sh,AGENT,agent
CORE_STABLE_RUN.sh,CORE,core
CORE_STABLE_RUN_V2.sh,CORE,core
CORE_SINGLE_TRUTH.sh,CORE,core
CORE_EVENT_KERNEL.js,CORE,core
BOOT_CLEAN_KERNEL.sh,BOOT,boot
CORE_TRUTH.js,CORE,core
BOOT_GUARDED.sh,BOOT,boot
BOOT_TRUTH_V3.sh,BOOT,boot
BOOT_COGNITIVE.sh,BOOT,boot
AGENT_CORE.js,CORE,core
BOOT_AGENT_KERNEL.sh,BOOT,boot
AGENT_EXEC_LAYER_PATCH.js,AGENT,agent
AGENT_OS_FIX.js,AGENT,agent
AGENT_OS_CORE_BACKUP.js,CORE,core
AGENT_OS_WRAPPER.js,AGENT,agent
AGENT_OS_SINGLE.sh,AGENT,agent
AGENT_OS_CORE_SINGLE.js,CORE,core
AGENT_OS_SINGLE_RUNTIME.js,AGENT,agent
AGENT_OS_SINGLE_EXEC_PATCH2.js,AGENT,agent
AGENT_OS_SINGLE_EXEC_PATCH3.js,AGENT,agent
AGENT_OS_MIN_KERNEL.sh,AGENT,agent
KERNEL_BOOTSTRAP.js,BOOT,boot
KERNEL_CLUSTER_WORKER_BOOT.js,BOOT,boot
KERNEL_CONSOLIDATION_ENGINE_V1.js,ENGINE,engine
KERNEL_RECONCILIATION_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V1.js,ENGINE,engine
KERNEL_REPLAY_ENGINE_V2.js,ENGINE,engine
KERNEL_SNAPSHOT_ENGINE_V1.js,ENGINE,engine
KERNEL_BACKGROUND_AGENT_V2.js,AGENT,agent
KERNEL_BOOTSTRAP_FULL_V1.js,BOOT,boot
KERNEL_CORE.js,CORE,core
KERNEL_SYNC_ENGINE.js,ENGINE,engine
SYSTEM_KERNEL_REHYDRATION_ENGINE_V1.js,ENGINE,engine
VERSION_ENGINE.js,ENGINE,engine
KERNEL_BACKGROUND_AGENT.js,AGENT,agent
KERNEL_BOOTSTRAP_LOOP_V1.js,BOOT,boot
POLICY_ENGINE.js,ENGINE,engine
KERNEL_BOOT_GUARD.js,BOOT,boot
KERNEL_TRANSACTION_ENGINE_V1.js,ENGINE,engine
BOOTSTRAP.sh,BOOT,boot
CORE.sh,CORE,core
