scenario_id,existence,humanity,population_scale,population,observer,observer_present,galaxy_scale,galaxies,experimenter_present
0,nonexistence,none,zero,0,absent,0,none,0,0
1,existence,none,zero,0,absent,0,none,0,0
2,existence,none,zero,0,absent,0,one,1,0
3,existence,none,zero,0,absent,0,many,10,0
4,existence,none,zero,0,absent,0,million,1000000,0
5,existence,none,zero,0,absent,0,infinity,,0
6,existence,none,zero,0,present,1,none,0,0
7,existence,none,zero,0,present,1,one,1,0
8,existence,none,zero,0,present,1,many,10,0
9,existence,none,zero,0,present,1,million,1000000,0
10,existence,none,zero,0,present,1,infinity,,0
11,existence,none,zero,0,experimenter_present,1,none,0,1
12,existence,none,zero,0,experimenter_present,1,one,1,1
13,existence,none,zero,0,experimenter_present,1,many,10,1
14,existence,none,zero,0,experimenter_present,1,million,1000000,1
15,existence,none,zero,0,experimenter_present,1,infinity,,1
16,existence,present,one,1,absent,0,none,0,0
17,existence,present,one,1,absent,0,one,1,0
18,existence,present,one,1,absent,0,many,10,0
19,existence,present,one,1,absent,0,million,1000000,0
20,existence,present,one,1,absent,0,infinity,,0
21,existence,present,one,1,present,1,none,0,0
22,existence,present,one,1,present,1,one,1,0
23,existence,present,one,1,present,1,many,10,0
24,existence,present,one,1,present,1,million,1000000,0
25,existence,present,one,1,present,1,infinity,,0
26,existence,present,one,1,experimenter_present,1,none,0,1
27,existence,present,one,1,experimenter_present,1,one,1,1
28,existence,present,one,1,experimenter_present,1,many,10,1
29,existence,present,one,1,experimenter_present,1,million,1000000,1
30,existence,present,one,1,experimenter_present,1,infinity,,1
31,existence,present,two,2,absent,0,none,0,0
32,existence,present,two,2,absent,0,one,1,0
33,existence,present,two,2,absent,0,many,10,0
34,existence,present,two,2,absent,0,million,1000000,0
35,existence,present,two,2,absent,0,infinity,,0
36,existence,present,two,2,present,1,none,0,0
37,existence,present,two,2,present,1,one,1,0
38,existence,present,two,2,present,1,many,10,0
39,existence,present,two,2,present,1,million,1000000,0
40,existence,present,two,2,present,1,infinity,,0
41,existence,present,two,2,experimenter_present,1,none,0,1
42,existence,present,two,2,experimenter_present,1,one,1,1
43,existence,present,two,2,experimenter_present,1,many,10,1
44,existence,present,two,2,experimenter_present,1,million,1000000,1
45,existence,present,two,2,experimenter_present,1,infinity,,1
46,existence,present,three,3,absent,0,none,0,0
47,existence,present,three,3,absent,0,one,1,0
48,existence,present,three,3,absent,0,many,10,0
49,existence,present,three,3,absent,0,million,1000000,0
50,existence,present,three,3,absent,0,infinity,,0
51,existence,present,three,3,present,1,none,0,0
52,existence,present,three,3,present,1,one,1,0
